Ath. Bilbao;20;27;25;24;7;7;6;
Castellon;20;25;19;25;7;9;4;
Betis;20;22;17;19;5;8;7;
At. Madrid;20;38;26;15;11;4;5;
Dptivo. Coruna;20;19;12;29;4;9;7;
Zaragoza;20;28;21;20;7;6;7;
Espanyol;20;35;30;17;9;3;8;
Sporting Gijon;20;22;18;21;6;10;4;
Malaga (C.D.);20;33;26;14;9;5;6;
Burgos;20;19;21;36;5;11;4;
Oviedo;20;20;19;26;4;8;8;
Barcelona;20;40;25;10;11;2;7;
Real Madrid;20;36;27;14;11;6;3;
Las Palmas;20;23;23;30;6;9;5;
Real Sociedad;20;33;28;26;10;7;3;
Celta;20;18;14;23;4;10;6;
Valencia;20;24;23;20;5;6;9;
Granada;20;25;13;18;6;7;7;
At. Madrid;21;38;27;17;11;5;5;
Real Madrid;21;39;29;15;12;6;3;
Barcelona;21;43;27;10;12;2;7;
Betis;21;22;17;21;5;9;7;
Burgos;21;20;21;36;5;11;5;
Dptivo. Coruna;21;20;12;29;4;9;8;
Castellon;21;28;22;25;8;9;4;
Real Sociedad;21;33;28;29;10;8;3;
Celta;21;21;15;23;5;10;6;
Malaga (C.D.);21;33;26;15;9;6;6;
Granada;21;28;17;18;7;7;7;
Oviedo;21;20;19;30;4;9;8;
Las Palmas;21;23;23;32;6;10;5;
Espanyol;21;38;32;17;10;3;8;
Sporting Gijon;21;25;20;21;7;10;4;
Ath. Bilbao;21;27;25;26;7;8;6;
Zaragoza;21;28;21;21;7;7;7;
Valencia;21;27;24;20;6;6;9;
Ath. Bilbao;22;30;26;26;8;8;6;
Las Palmas;22;23;23;33;6;11;5;
Betis;22;23;17;21;5;9;8;
Granada;22;29;17;18;7;7;8;
Celta;22;24;16;23;6;10;6;
Burgos;22;20;21;37;5;12;5;
Espanyol;22;41;34;18;11;3;8;
At. Madrid;22;38;28;19;11;6;5;
Malaga (C.D.);22;34;27;16;9;6;7;
Castellon;22;29;23;26;8;9;5;
Oviedo;22;23;21;30;5;9;8;
Zaragoza;22;28;21;23;7;8;7;
Real Madrid;22;40;29;15;12;6;4;
Barcelona;22;44;27;10;12;2;8;
Real Sociedad;22;34;28;29;10;8;4;
Sporting Gijon;22;26;20;21;7;10;5;
Valencia;22;27;24;21;6;7;9;
Dptivo. Coruna;22;23;13;29;5;9;8;
At. Madrid;23;41;30;20;12;6;5;
Ath. Bilbao;23;30;27;28;8;9;6;
Barcelona;23;44;27;11;12;3;8;
Espanyol;23;44;35;18;12;3;8;
Burgos;23;23;23;38;6;12;5;
Valencia;23;27;25;23;6;8;9;
Castellon;23;32;28;27;9;9;5;
Celta;23;24;17;28;6;11;6;
Dptivo. Coruna;23;24;14;30;5;9;9;
Oviedo;23;24;22;31;5;9;9;
Granada;23;29;18;20;7;8;8;
Real Madrid;23;43;31;16;13;6;4;
Las Palmas;23;26;24;33;7;11;5;
Real Sociedad;23;34;28;30;10;9;4;
Sporting Gijon;23;29;22;21;8;10;5;
Malaga (C.D.);23;34;27;18;9;7;7;
Zaragoza;23;31;24;25;8;8;7;
Betis;23;23;19;24;5;10;8;
Ath. Bilbao;24;30;27;29;8;10;6;
Barcelona;24;47;28;11;13;3;8;
Betis;24;26;21;24;6;10;8;
Dptivo. Coruna;24;24;14;32;5;10;9;
Castellon;24;35;31;28;10;9;5;
Burgos;24;23;24;41;6;13;5;
Celta;24;27;20;28;7;11;6;
Sporting Gijon;24;29;22;24;8;11;5;
Espanyol;24;47;37;19;13;3;8;
Granada;24;29;19;22;7;9;8;
Malaga (C.D.);24;34;27;19;9;8;7;
Las Palmas;24;29;25;33;8;11;5;
Oviedo;24;27;25;32;6;9;9;
Valencia;24;27;26;26;6;9;9;
Real Madrid;24;44;31;16;13;6;5;
Zaragoza;24;32;24;25;8;8;8;
Real Sociedad;24;34;28;31;10;10;4;
At. Madrid;24;44;31;20;13;6;5;
At. Madrid;25;45;32;21;13;6;6;
Malaga (C.D.);25;35;28;20;9;8;8;
Barcelona;25;50;29;11;14;3;8;
Real Sociedad;25;34;28;32;10;11;4;
Burgos;25;23;24;42;6;14;5;
Oviedo;25;30;26;32;7;9;9;
Dptivo. Coruna;25;25;14;32;5;10;10;
Real Madrid;25;45;31;16;13;6;6;
Granada;25;30;19;22;7;9;9;
Ath. Bilbao;25;31;27;29;8;10;7;
Las Palmas;25;30;25;33;8;11;6;
Celta;25;28;20;28;7;11;7;
Sporting Gijon;25;32;23;24;9;11;5;
Castellon;25;35;31;29;10;10;5;
Valencia;25;30;28;26;7;9;9;
Betis;25;26;21;26;6;11;8;
Zaragoza;25;35;25;25;9;8;8;
Espanyol;25;47;37;20;13;4;8;
Ath. Bilbao;26;34;28;29;9;10;7;
Zaragoza;26;35;25;26;9;9;8;
Betis;26;27;21;26;6;11;9;
Oviedo;26;31;26;32;7;9;10;
Castellon;26;38;33;30;11;10;5;
Las Palmas;26;30;26;35;8;12;6;
Celta;26;28;20;29;7;12;7;
At. Madrid;26;48;33;21;14;6;6;
Espanyol;26;50;39;21;14;4;8;
Dptivo. Coruna;26;25;15;34;5;11;10;
Malaga (C.D.);26;38;30;21;10;8;8;
Barcelona;26;50;30;13;14;4;8;
Real Madrid;26;48;33;17;14;6;6;
Valencia;26;30;29;28;7;10;9;
Real Sociedad;26;37;29;32;11;11;4;
Granada;26;30;19;23;7;10;9;
Sporting Gijon;26;32;24;26;9;12;5;
Burgos;26;26;26;43;7;14;5;
At. Madrid;27;51;34;21;15;6;6;
Castellon;27;38;33;31;11;11;5;
Barcelona;27;53;32;13;15;4;8;
Celta;27;28;20;31;7;13;7;
Burgos;27;29;28;44;8;14;5;
Betis;27;27;22;28;6;12;9;
Dptivo. Coruna;27;28;17;35;6;11;10;
Ath. Bilbao;27;34;29;31;9;11;7;
Granada;27;33;21;23;8;10;9;
Malaga (C.D.);27;38;30;23;10;9;8;
Las Palmas;27;31;27;36;8;12;7;
Sporting Gijon;27;33;25;27;9;12;6;
Oviedo;27;31;27;34;7;10;10;
Real Madrid;27;51;35;18;15;6;6;
Valencia;27;33;30;28;8;10;9;
Espanyol;27;50;39;22;14;5;8;
Zaragoza;27;36;26;27;9;9;9;
Real Sociedad;27;38;30;33;11;11;5;
Ath. Bilbao;28;37;31;31;10;11;7;
Valencia;28;33;30;30;8;11;9;
Castellon;28;41;37;31;12;11;5;
Barcelona;28;53;32;17;15;5;8;
Celta;28;29;20;31;7;13;8;
Granada;28;34;21;23;8;10;10;
Espanyol;28;53;42;22;15;5;8;
Oviedo;28;31;27;37;7;11;10;
Las Palmas;28;34;31;37;9;12;7;
Burgos;28;29;29;48;8;15;5;
Malaga (C.D.);28;41;32;24;11;9;8;
Zaragoza;28;36;27;29;9;10;9;
Real Madrid;28;52;36;19;15;6;7;
Betis;28;28;23;29;6;12;10;
Real Sociedad;28;41;32;33;12;11;5;
Dptivo. Coruna;28;28;17;37;6;12;10;
Sporting Gijon;28;33;27;30;9;13;6;
At. Madrid;28;54;37;23;16;6;6;
At. Madrid;29;57;39;24;17;6;6;
Las Palmas;29;34;32;39;9;13;7;
Barcelona;29;56;35;18;16;5;8;
Sporting Gijon;29;33;28;33;9;14;6;
Betis;29;29;25;31;6;12;11;
Espanyol;29;54;44;24;15;5;9;
Burgos;29;29;31;51;8;16;5;
Real Madrid;29;55;39;21;16;6;7;
Dptivo. Coruna;29;31;18;37;7;12;10;
Malaga (C.D.);29;41;32;25;11;10;8;
Granada;29;35;22;24;8;10;11;
Castellon;29;42;38;32;12;11;6;
Oviedo;29;34;29;38;8;11;10;
Ath. Bilbao;29;37;32;33;10;12;7;
Valencia;29;36;31;30;9;11;9;
Real Sociedad;29;41;32;34;12;12;5;
Zaragoza;29;37;29;31;9;10;10;
Celta;29;30;22;33;7;13;9;
At. Madrid;30;60;43;26;18;6;6;
Burgos;30;29;33;55;8;17;5;
Ath. Bilbao;30;38;33;34;10;12;8;
Betis;30;30;26;32;6;12;12;
Castellon;30;43;39;33;12;11;7;
Zaragoza;30;38;30;32;9;10;11;
Celta;30;33;23;33;8;13;9;
Dptivo. Coruna;30;31;18;38;7;13;10;
Espanyol;30;57;45;24;16;5;9;
Real Madrid;30;55;39;22;16;7;7;
Las Palmas;30;37;34;40;10;13;7;
Barcelona;30;56;36;20;16;6;8;
Malaga (C.D.);30;42;33;26;11;10;9;
Valencia;30;37;32;31;9;11;10;
Real Sociedad;30;41;33;36;12;13;5;
Oviedo;30;37;31;39;9;11;10;
Sporting Gijon;30;36;30;33;10;14;6;
Granada;30;35;22;26;8;11;11;
Barcelona;31;57;36;20;16;6;9;
At. Madrid;31;61;43;26;18;6;7;
Betis;31;31;27;33;6;12;13;
Real Sociedad;31;42;34;37;12;13;6;
Burgos;31;30;34;56;8;17;6;
Espanyol;31;58;46;25;16;5;10;
Dptivo. Coruna;31;32;19;39;7;13;11;
Castellon;31;44;40;34;12;11;8;
Granada;31;38;23;26;9;11;11;
Las Palmas;31;37;34;41;10;14;7;
Oviedo;31;38;31;39;9;11;11;
Malaga (C.D.);31;43;33;26;11;10;10;
Real Madrid;31;56;42;25;16;7;8;
Ath. Bilbao;31;39;36;37;10;12;9;
Valencia;31;40;33;31;10;11;10;
Celta;31;33;23;34;8;14;9;
Zaragoza;31;41;33;33;10;10;11;
Sporting Gijon;31;36;31;36;10;15;6;
At. Madrid;32;64;45;27;19;6;7;
Granada;32;38;24;28;9;12;11;
Ath. Bilbao;32;42;37;37;11;12;9;
Espanyol;32;58;46;26;16;6;10;
Barcelona;32;60;38;20;17;6;9;
Burgos;32;30;34;58;8;18;6;
Castellon;32;44;41;37;12;12;8;
Valencia;32;43;36;32;11;11;10;
Celta;32;36;27;36;9;14;9;
Oviedo;32;38;33;43;9;12;11;
Las Palmas;32;38;35;42;10;14;8;
Zaragoza;32;42;34;34;10;10;12;
Malaga (C.D.);32;44;33;26;11;10;11;
Betis;32;32;27;33;6;12;14;
Real Sociedad;32;43;35;38;12;13;7;
Real Madrid;32;57;43;26;16;7;9;
Sporting Gijon;32;37;31;36;10;15;7;
Dptivo. Coruna;32;33;19;39;7;13;12;
Ath. Bilbao;33;45;41;37;12;12;9;
Burgos;33;30;34;62;8;19;6;
Betis;33;35;28;33;7;12;14;
Celta;33;36;27;37;9;15;9;
Dptivo. Coruna;33;34;21;41;7;13;13;
Las Palmas;33;39;37;44;10;14;9;
Espanyol;33;59;47;27;16;6;11;
Real Sociedad;33;44;36;39;12;13;8;
Granada;33;38;24;30;9;13;11;
Barcelona;33;63;40;20;18;6;9;
Oviedo;33;39;33;43;9;12;12;
Castellon;33;45;41;37;12;12;9;
Real Madrid;33;60;45;26;17;7;9;
Malaga (C.D.);33;44;33;28;11;11;11;
Valencia;33;46;37;32;12;11;10;
Sporting Gijon;33;37;31;37;10;16;7;
Zaragoza;33;43;35;35;10;10;13;
At. Madrid;33;65;46;28;19;6;8;
At. Madrid;34;68;49;29;20;6;8;
Dptivo. Coruna;34;34;22;44;7;14;13;
Barcelona;34;64;41;21;18;6;10;
Zaragoza;34;44;36;36;10;10;14;
Burgos;34;33;36;63;9;19;6;
Granada;34;38;25;32;9;14;11;
Castellon;34;48;44;38;13;12;9;
Betis;34;35;29;36;7;13;14;
Celta;34;39;30;37;10;15;9;
Real Madrid;34;60;45;29;17;8;9;
Las Palmas;34;42;38;44;11;14;9;
Valencia;34;46;37;33;12;12;10;
Malaga (C.D.);34;44;33;29;11;12;11;
Espanyol;34;62;48;27;17;6;11;
Real Sociedad;34;47;37;39;13;13;8;
Ath. Bilbao;34;45;41;38;12;13;9;
Sporting Gijon;34;40;32;37;11;16;7;
Oviedo;34;39;33;44;9;13;12;
Barakaldo;35;3;3;0;1;0;0;
Pontevedra;35;0;0;3;0;1;0;
Cadiz;35;3;3;1;1;0;0;
Sabadell;35;0;1;3;0;1;0;
Cordoba;35;3;2;1;1;0;0;
Logrones;35;0;1;2;0;1;0;
Elche;35;3;3;2;1;0;0;
Cult. Leonesa;35;0;2;3;0;1;0;
Mallorca;35;3;2;1;1;0;0;
Rayo Vallecano;35;0;1;2;0;1;0;
Osasuna;35;0;0;1;0;1;0;
Rac. Santander;35;3;1;0;1;0;0;
Sant Andreu;35;0;1;2;0;1;0;
Gimn. Tarragon;35;3;2;1;1;0;0;
Sevilla;35;3;3;0;1;0;0;
Tenerife;35;0;0;3;0;1;0;
Valencia B;35;1;0;0;0;0;1;
Murcia;35;1;0;0;0;0;1;
Valladolid;35;1;1;1;0;0;1;
Hercules;35;1;1;1;0;0;1;
Cult. Leonesa;36;0;3;5;0;2;0;
Sant Andreu;36;3;3;3;1;1;0;
Gimn. Tarragon;36;6;4;1;2;0;0;
Barakaldo;36;3;3;2;1;1;0;
Hercules;36;2;2;2;0;0;2;
Sevilla;36;4;4;1;1;0;1;
Logrones;36;1;4;5;0;1;1;
Cadiz;36;4;6;4;1;0;1;
Murcia;36;4;2;1;1;0;1;
Valladolid;36;1;2;3;0;1;1;
Pontevedra;36;0;1;6;0;2;0;
Mallorca;36;6;5;2;2;0;0;
